case,family,noise_std,noise_seed,variant,run,status,touches,false_stop,quality_met,final_rmse,final_max_error,coverage_95,interval_width,motion_time,audit_touches,coverage_touches,optimizer_fallbacks,distance,time_averaged_rmse,repeat_fraction,compute_p95_seconds,wall_seconds,rmse_at_available_8,rmse_at_available_16,rmse_at_available_32,rmse_at_available_64,rmse_at_available_128
circle-validation-0,circle,0.005,52001,fixed-budget,circle-validation-0-n0-s52001-fixed-budget,budget_exhausted,128,False,True,0.004379772663566974,0.015787407995211722,0.98291015625,0.021068153030259478,272.3213909091937,0,0,0,185.1958038324036,0.004806551437090504,0.0,0.02713890454997454,6.5550474020001275,0.004330727766974379,0.004801518617860874,0.004682807879407095,0.0050859038672412295,0.004379772663566974
circle-validation-0,circle,0.005,52001,learned-budget,circle-validation-0-n0-s52001-learned-budget,budget_exhausted,128,False,True,0.0022376477860888058,0.007327117142603812,0.956298828125,0.00915430072971955,270.0388274968199,0,0,0,182.9132404200297,0.0047025937029645274,0.0234375,0.027612749948821142,6.674908930999663,0.004330727766974379,0.004669332449304996,0.0034055963076584815,0.0033183520270874058,0.0022376477860888058
circle-validation-0,circle,0.005,52001,learned-coverage,circle-validation-0-n0-s52001-learned-coverage,budget_exhausted,128,False,True,0.00245944855410542,0.006691464756538701,0.966796875,0.00917461574632909,276.22383803357496,0,24,0,189.0982509567847,0.004721012663738233,0.0390625,0.021527444450566688,4.636564229000214,0.004330727766974379,0.004654072122960424,0.0036989632617391226,0.0032230647343749405,0.00245944855410542
circle-validation-0,circle,0.005,52001,uncertainty-stop,circle-validation-0-n0-s52001-uncertainty-stop,confident,16,False,True,0.004654072122960424,0.008251605150249364,1.0,0.021207829400759513,37.53765006002848,0,1,0,26.646951675429715,0.004702057585483926,0.0,0.014473260998784099,0.2723027299998648,0.004330727766974379,0.004654072122960424,0.004654072122960424,0.004654072122960424,0.004654072122960424
circle-validation-0,circle,0.005,52001,guarded-stop,circle-validation-0-n0-s52001-guarded-stop,confident,34,False,True,0.0036267943766177526,0.007572735838920486,1.0,0.015153959591910269,80.44552588580598,2,4,0,57.3027918185336,0.004721012663738233,0.0,0.015194946299197909,0.6453510249993997,0.004330727766974379,0.004654072122960424,0.0036989632617391226,0.0036267943766177526,0.0036267943766177526
circle-validation-0,circle,0.005,52002,fixed-budget,circle-validation-0-n0-s52002-fixed-budget,budget_exhausted,128,False,True,0.0044019779746845965,0.016518395626855642,0.98388671875,0.021065481580219605,276.7883429635167,0,0,0,189.66275588672667,0.0046576954579029516,0.0,0.022091460401861693,4.636033322000003,0.003965799585540603,0.004560639585617018,0.00428347157162951,0.00401945706619304,0.0044019779746845965
circle-validation-0,circle,0.005,52002,learned-budget,circle-validation-0-n0-s52002-learned-budget,budget_exhausted,128,False,True,0.002200972756636164,0.005540035430164791,0.966796875,0.009145837029873085,271.14329366409777,0,0,0,184.0177065873074,0.004558915151037556,0.03125,0.02253495900031339,4.4563242479998735,0.003965799585540603,0.0043059792797771725,0.0030330692782562533,0.0029591801527479524,0.002200972756636164
circle-validation-0,circle,0.005,52002,learned-coverage,circle-validation-0-n0-s52002-learned-coverage,budget_exhausted,128,False,True,0.0021169534688366487,0.005849889375770356,0.96337890625,0.00915742517009777,275.73296418145145,0,24,0,188.60737710466123,0.0046116465961914925,0.0546875,0.021578919450348618,4.381622170998526,0.003965799585540603,0.004358089940827452,0.0033180673392734185,0.001953341322194879,0.0021169534688366487
circle-validation-0,circle,0.005,52002,uncertainty-stop,circle-validation-0-n0-s52002-uncertainty-stop,confident,16,False,True,0.004358089940827452,0.008798102504989469,1.0,0.021207829400759513,37.53765006002848,0,1,0,26.646951675429715,0.004662102876623232,0.0,0.012831285001084325,0.2078914520006947,0.003965799585540603,0.004358089940827452,0.004358089940827452,0.004358089940827452,0.004358089940827452
circle-validation-0,circle,0.005,52002,guarded-stop,circle-validation-0-n0-s52002-guarded-stop,confident,34,False,True,0.003179890088118074,0.006863264933132718,1.0,0.015153959591910269,80.44552588580598,2,4,0,57.3027918185336,0.0046116465961914925,0.0,0.013145195499510008,0.5117549889982911,0.003965799585540603,0.004358089940827452,0.0033180673392734185,0.003179890088118074,0.003179890088118074
