case,family,noise_std,noise_seed,policy,run,status,final_rmse,final_max_error,coverage_95,interval_width,motion_time,distance,time_averaged_rmse,repeat_fraction,compute_p95_seconds,wall_seconds,rmse_at_8,rmse_at_16,rmse_at_32,rmse_at_64,rmse_at_128
circle-0,circle,0.015,51001,cost,circle-0-n2-s51001-cost,budget_exhausted,0.010055954876324633,0.02813444899378681,0.96533203125,0.0448442487950092,257.248237394644,172.89719633380497,0.01374480711575437,0.0,0.021591787353099783,4.354769646015484,0.011813788280429451,0.01644473361069647,0.014759281619978715,0.012888557387812699,0.010055954876324633
circle-0,circle,0.015,51002,random,circle-0-n2-s51002-random,budget_exhausted,0.009875649089610338,0.028914613903422426,0.98583984375,0.05129832024645699,401.4669751485002,317.1159340876611,0.010842577908140265,0.0,0.00418031199806137,3.0225333299895283,0.008363892660788658,0.011277720567445243,0.012012681864734507,0.010275027717986553,0.009875649089610338
circle-0,circle,0.015,51002,sweep,circle-0-n2-s51002-sweep,budget_exhausted,0.010949283504004365,0.0315752244885702,0.960205078125,0.04446520262226501,213.5850082482673,129.23396718742808,0.011100012063039627,0.0,0.004161524743540212,2.9124964700022247,0.008363892660788658,0.010325607491302818,0.010549518075715452,0.010490467469484345,0.010949283504004365
circle-0,circle,0.015,51002,gap,circle-0-n2-s51002-gap,budget_exhausted,0.010949283504003827,0.03157522448856953,0.960205078125,0.04446520262226423,231.74734077683254,147.39629971599385,0.011140190637407434,0.0,0.006964338992838747,3.2052494819799904,0.008363892660788658,0.010596744310800236,0.013652303265550988,0.012882046710702113,0.010949283504003827
circle-0,circle,0.015,51002,variance,circle-0-n2-s51002-variance,budget_exhausted,0.010949283504004117,0.0315752244885702,0.960205078125,0.04446520262226416,328.64583918599357,244.2947981251543,0.010578999279494511,0.0,0.006161606787645724,3.09843805199489,0.008363892660788658,0.010596744310800238,0.013652303265550982,0.012882046710702125,0.010949283504004117
circle-0,circle,0.015,51002,cost,circle-0-n2-s51002-cost,budget_exhausted,0.010053695111291262,0.029797297904414877,0.983154296875,0.0448448344306617,257.7145675541612,173.36352649332215,0.011486371676346287,0.0,0.021534500041161662,4.570369505992858,0.008363892660788658,0.01182029231355524,0.011023570592608467,0.012951341765662936,0.010053695111291262
circle-1,circle,0.0,51001,random,circle-1-n0-s51001-random,budget_exhausted,2.4800863173868763e-05,0.00017474404393996723,1.0,0.01891288656990671,400.95434005817793,306.08948984622674,0.02157850570444478,0.0,0.0045279575046151856,3.0366600939887576,0.007899491565575244,0.006153306238942139,0.0038262931105747127,0.00013083798458150093,2.4800863173868763e-05
circle-1,circle,0.0,51001,sweep,circle-1-n0-s51001-sweep,budget_exhausted,2.162800175483336e-07,3.389013031318555e-07,1.0,0.010493872192370045,245.12643570160333,150.26158548965165,0.02191246936822846,0.0,0.00440429394948296,2.985046651971061,0.007899491565575244,0.007583140806496879,0.007059363086230446,0.005852864802921605,2.162800175483336e-07
circle-1,circle,0.0,51001,gap,circle-1-n0-s51001-gap,budget_exhausted,2.1628001753802022e-07,3.389013031318555e-07,1.0,0.010493872192365236,263.2887682301684,168.4239180182178,0.019983719526839864,0.0,0.00805093299859436,3.20039863200509,0.007899491565575244,0.0007729345535732731,5.366448010362775e-05,3.4391074933621818e-06,2.1628001753802022e-07
circle-1,circle,0.0,51001,variance,circle-1-n0-s51001-variance,budget_exhausted,2.1628001754187023e-07,3.389013031318555e-07,1.0,0.010493872192361139,400.83162159514734,305.9667713831956,0.0212763613262734,0.0,0.006076033851422835,3.1775542910036165,0.007899491565575244,0.0007729345535732737,5.366448010362923e-05,3.4391074933584125e-06,2.1628001754187023e-07
